%time,field
1412088563328455306,162
1412088563428379658,175
1412088563528448750,155
1412088563628412576,155
1412088563728381776,168
1412088563828405205,177
1412088563928392645,184
1412088564028243090,157
1412088564129262414,178
1412088564228419030,174
1412088564328376376,175
1412088564428372620,172
1412088564528315508,170
1412088564628483569,173
1412088564728300207,166
1412088564828352522,164
1412088564928350267,177
1412088565028343871,162
1412088565128422553,185
1412088565229048473,163
1412088565328294853,175
1412088565428401074,146
1412088565528435218,171
1412088565628396899,161
1412088565728513559,157
1412088565828386333,172
1412088565928375614,166
1412088566029954012,166
1412088566128985370,163
1412088566228363965,161
1412088566329140348,164
1412088566428414274,174
1412088566528292069,153
1412088566628778408,163
1412088566728814626,166
1412088566828359126,154
1412088566928583363,166
1412088567028331572,172
1412088567128583352,166
1412088567228305780,171
1412088567328358970,179
1412088567429068443,160
1412088567528399127,158
1412088567628399315,161
1412088567729602333,165
1412088567828369622,164
1412088567928401959,159
1412088568028390810,167
1412088568128406859,167
1412088568228461948,177
1412088568328617102,160
1412088568428739244,149
1412088568529464820,158
1412088568628348894,155
1412088568729031793,138
1412088568828455539,169
1412088568930885705,159
1412088569028380248,158
1412088569128363645,163
1412088569229676729,150
1412088569328348260,164
1412088569428287208,140
1412088569528343363,163
1412088569628294878,160
1412088569728386063,147
1412088569828356650,159
1412088569928395460,152
1412088570028373538,166
1412088570128448983,163
1412088570228377727,166
1412088570328371147,175
1412088570428383969,135
1412088570528369377,184
1412088570630171295,169
1412088570728491323,159
1412088570828482974,145
1412088570928506386,154
1412088571028457762,150
1412088571128570214,163
1412088571228368861,156
1412088571328504996,158
1412088571428418065,160
1412088571528288673,174
1412088571628364055,160
1412088571728388439,149
1412088571829275777,149
1412088571928324449,145
1412088572028417600,142
1412088572128380213,155
1412088572228861670,161
1412088572328365312,148
1412088572428473837,159
1412088572528464886,158
1412088572628526044,153
1412088572728443449,146
1412088572828393542,151
1412088572928878872,147
1412088573028376757,128
1412088573128422595,142
1412088573228418936,154
1412088573328529155,159
1412088573428453984,140
1412088573528439949,143
1412088573629034752,148
1412088573728434723,158
1412088573828380860,155
1412088573928490063,156
1412088574028682965,153
1412088574128301871,166
1412088574228375728,157
1412088574328391092,143
1412088574428556889,155
1412088574528499011,152
1412088574628332775,149
1412088574728414931,149
1412088574828416030,157
1412088574928396535,151
1412088575028838170,127
1412088575128425411,155
1412088575228422091,178
1412088575328376849,150
1412088575428686054,160
1412088575528655977,138
1412088575628395971,152
1412088575728382540,159
1412088575828290182,157
1412088575928391101,153
1412088576028657036,137
1412088576129676240,167
1412088576228519710,125
1412088576328624024,151
1412088576428520914,147
1412088576528404103,147
1412088576628504066,162
